Ano;ID;RA;Fase;INDE 2022;Pedra 2022;Turma;Nome;Ano nasc;Idade no ano;Gênero;Ano ingresso;Instituição de ensino;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Ranking Geral ;Ranking na Fase;Ranking Turma;Nº Av;Avaliador1;Recomendação Av1;Avaliador2;Recomendação Av2;Avaliador3;Recomendação Av3;Avaliador4;Recomendação Av4;Auto Avaliação;Engajamento;Psicossocial;Psicopedagógico;Rec Psicologia;Indicador de Aprendizagem;Matem;Portug;Inglês;Indicado;Atingiu PV;Ponto de Virada;Adequaça o ao Ní vel;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV;Escola;Ativo/ Inativo;Ativo/ Inativo
2022;11;RA-11;7;5,3;Quartzo;A;Aluno-11;2004;18;Menina;2016;Escola Pública;Quartzo;Ágata;Quartzo;;5,3;;799;19;11;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,2;4,2;5,0;;Requer avaliação;3,0;1,8;2,5;4,5;Não;Não;6,4;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;12;RA-12;7;4,8;Quartzo;A;Aluno-12;2005;17;Menina;2020;Escola Pública;Ágata;Ágata;Quartzo;;4,8;;834;20;12;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;;4,0;6,9;;Sem limitações;1,5;2,7;1,1;0,7;Sim;Não;6,4;10;Fase 7 (3º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;13;RA-13;7;6,9;Ágata;A;Aluno-13;2004;18;Menino;2016;Escola Pública;Ametista;Ametista;Ágata;;6,9;;524;10;4;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;7,4;7,5;;Sem limitações;4,7;3,5;5,5;5,2;Sim;Não;8,1;5,0;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;14;RA-14;7;6,8;Ágata;D;Aluno-14;2001;21;Menino;2022;Escola Pública;;;Ágata;;6,8;;558;12;7;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;7,9;8,3;7,5;;Não atendido;4,0;8,0;;;Sim;Não;7,8;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;15;RA-15;7;7,8;Ametista;D;Aluno-15;2004;18;Menino;2022;Escola Pública;;;Ametista;;7,8;;207;3;2;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;8,8;10,0;7,5;;Não atendido;7,3;8,0;6,5;;Sim;Não;7,3;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;16;RA-16;7;6,1;Ágata;D;Aluno-16;2003;19;Menino;2022;Escola Pública;;;Ágata;;6,1;;706;14;8;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;8,3;5,0;;Requer avaliação;3,5;7,0;;;Sim;Não;6,3;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;17;RA-17;7;8,1;Topázio;D;Aluno-17;2002;20;Menino;2022;Escola Pública;;;Topázio;;8,1;;125;2;1;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;8,8;10,0;7,5;;Não atendido;7,8;9,0;6,5;;Sim;Não;8,3;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;18;RA-18;7;7,2;Ametista;D;Aluno-18;2003;19;Menino;2022;Escola Pública;;;Ametista;;7,2;;418;7;5;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;6,3;8,7;6,3;;Requer avaliação;9,0;9,0;9,0;;Sim;Não;6,9;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;19;RA-19;7;7,7;Ametista;D;Aluno-19;2003;19;Menina;2022;Escola Pública;;;Ametista;;7,7;;248;4;3;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;9,5;7,5;;Sem limitações;8,0;7,0;9,0;;Sim;Não;7,0;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;20;RA-20;7;7,5;Ametista;D;Aluno-20;2003;19;Menina;2022;Escola Pública;;;Ametista;;7,5;;296;5;4;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,1;10,0;6,3;;Não atendido;7,8;9,0;6,5;;Sim;Não;7,2;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
